phase,algorithm,mae,mae_std,rmse,rmse_std,r2,r2_std,skill,spearman,monotonicity,cap_mae_ahr,cap_mae_ahr_std
scalar,RF,0.06702286733561624,0.050904785929854736,0.08176237546124973,0.05460659099223507,0.3785805577224967,0.7132799458764992,0.4665071188985964,0.8742266798128011,0.6622132618230929,,
dl_micro,CNN,0.1470433668448375,0.05446267020377243,0.16160437232459401,0.05638485619058591,-0.9004535445800195,2.033884163411201,-0.14430704796433344,0.8633972188584812,0.6526611056073592,0.22567318265254682,0.088694935415714
dl_micro,TCN,0.17882335300628954,0.11630455234251277,0.20167926327910182,0.12199121320569421,-3.363627199943249,6.4537807245734955,-0.5359327520989156,0.6388083960933458,0.6354909438224495,0.26550693064928055,0.18844290114073226
dl_micro,LSTM,0.0650971163637363,0.04091796757675214,0.07963365052751326,0.04657512581028745,0.3173196774262648,0.9159300334184727,0.44720330437827926,0.8895415878562692,0.7165681245313927,0.09852422343996856,0.05954593947102058
dl_micro,Transformer,0.0924679906322406,0.053956495385336,0.11424131734990492,0.06546292416527184,0.04800844192504883,1.0785269156171866,0.32804371194639825,0.7735372855794606,0.6043582108361485,0.13906937436415598,0.08053168735127937
dl_hybrid,Hybrid-LSTM,0.059735837464149184,0.03621783082282238,0.07630871230553565,0.046474082579070784,0.46798988489004284,0.7429504564328907,0.5300830308407443,0.8872207880000679,0.7144470122520905,0.08841434952158195,0.04607809577786967
