phase,task,algorithm,mae,mae_std,rmse,rmse_std,r2,r2_std,skill,spearman,monotonicity,mae_cycles,mae_cycles_std
practical_dl,lifespan,TCN,0.04172293576770104,0.02140458459107861,0.07015578332063115,0.03140999622138094,0.9347321161857018,0.07822168852239016,0.8576417559061924,0.9019007713649742,0.8469350131466241,1.5571096478732012,2.149686254175921
practical_dl,efficiency,TCN,0.057035085960076407,0.031493933951178846,0.07182542053453583,0.03404669363656677,0.5917614423311673,0.5696108432408927,0.5597420105234996,0.8962374078780241,0.6968438775193052,,
