,,,MAE,MAE,MAE,RMSE,RMSE,RMSE,R²,R²,R²,Skill,Skill,Skill,Spearman,Spearman,Spearman,best_ep,best_ep
Model,,,+CNN,LSTM,RF,+CNN,LSTM,RF,+CNN,LSTM,RF,+CNN,LSTM,RF,+CNN,LSTM,RF,+CNN,LSTM
Fold,HeldGroup,HeldBids,,,,,,,,,,,,,,,,,
1,CALCE_CS2_T2,"CS2_35,CS2_36,CS2_37,CS2_38",0.0092,0.027,0.0399,0.0226,0.0406,0.0528,0.986,0.9552,0.9241,0.9378,0.8174,0.7305,0.9925,0.9854,0.9826,62.0,7.0
2,CALCE_CX2_T1,"CX2_33,CX2_35",0.0294,0.0265,0.033,0.0485,0.0542,0.0545,0.9071,0.8838,0.8826,0.8277,0.8444,0.8066,0.9813,0.9758,0.9419,121.0,23.0
3,CALCE_CX2_T2,"CX2_37,CX2_38",0.026,0.0291,0.0579,0.0477,0.0469,0.0959,0.9514,0.9531,0.8039,0.8584,0.8415,0.685,0.9934,0.9916,0.8512,23.0,7.0
4,CALCE_CS2_T1,"CS2_33,CS2_34",0.0335,0.047,0.0318,0.0471,0.0662,0.0406,0.9212,0.8443,0.9414,0.7376,0.6317,0.7505,0.961,0.9555,0.9741,118.0,4.0
5,NASA_CTRL,"B0005,B0006,B0007,B0018",0.0685,0.0194,0.078,0.086,0.0264,0.0925,0.2338,0.9279,0.1124,0.3302,0.8102,0.2369,0.6133,0.9636,0.4242,1.0,9.0
6,NASA_RW,"RW1,RW13,RW14,RW15,RW16,RW17,RW19,RW20",0.0578,0.0788,0.1932,0.0735,0.1089,0.2169,0.7723,0.4992,-0.986,0.707,0.6009,0.0212,0.9245,0.8415,0.4847,16.0,13.0
